%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609045331750229120,0,1609045331750229120,4.296583589166403e-03,-2.511664759367704e-03,4.695001698564738e-04,7.377117497963237e-05,1.164083446466655e-04,-2.090579648585712e-04,9.999999686508387e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045331819620371,1,1609045331819620371,4.131491326340963e-03,-3.381180079171745e-03,1.483709340103045e-03,5.788955867402732e-05,4.844456580466599e-05,-2.032750464565218e-04,9.999999764905890e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045331922012806,2,1609045331922012806,1.967390529002222e-03,-3.025767746251090e-03,2.991836359497997e-03,1.430613188934677e-04,4.590962713255965e-05,-1.319936035067355e-04,9.999999800017267e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332025507212,3,1609045332025507212,1.091503790409298e-03,-1.255692610987844e-03,2.794556539347712e-03,1.087700420686336e-04,5.414403979002290e-05,-6.111717778181701e-05,9.999999907510957e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332128050804,4,1609045332128050804,1.862523819708141e-03,3.606108146774509e-04,2.419043566130089e-03,6.977936499006249e-05,3.441857129121144e-05,-3.121428483582072e-05,9.999999964859353e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332231098175,5,1609045332231098175,3.498950934996063e-03,3.356237114121165e-03,2.092551677868147e-03,3.406890369984226e-05,7.716378905041484e-05,-2.054930989653803e-04,9.999999753288226e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332333657742,6,1609045332333657742,3.959451811442809e-03,1.995943126614611e-03,1.591577571183882e-03,4.984160067663468e-05,3.316622982713826e-05,-1.848055819911913e-04,9.999999811313562e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332437062025,7,1609045332437062025,2.235992863296106e-03,1.931850092316303e-03,1.027859872393137e-03,-1.329472752734188e-05,9.921654776936107e-06,-1.236604722324260e-04,9.999999922164493e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332543826580,8,1609045332543826580,1.409601260877718e-03,1.881898657334873e-03,5.426653043390055e-04,2.354709601884494e-05,4.522880445956649e-05,-1.541173310786349e-04,9.999999868238688e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609045332644600868,9,1609045332644600868,1.898178358340674e-03,1.387152209058933e-03,8.248428541946058e-04,8.116852847904050e-05,4.506680625240329e-05,-1.340446387366042e-04,9.999999867063438e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
