%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609043643761377573,0,1609043643761377573,-5.908256450662147e-03,-3.771379519825832e-01,2.817588264473652e-02,-1.687097948090568e-02,3.571193399890462e-04,1.426832441481986e-02,9.997557989006742e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043643824734688,1,1609043643824734688,4.601219893822061e-02,-1.577042328593413e-01,1.666225235151328e-02,-1.123082114459153e-02,2.417999498914550e-03,4.174715533850172e-03,9.999252940520371e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043643935916424,2,1609043643935916424,7.582864549375583e-03,-1.519053463017217e-01,1.211853992053735e-02,-1.229489384878558e-02,3.195006092223657e-03,5.573473939395276e-03,9.999037773253808e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644029563189,3,1609043644029563189,2.208262680729918e-02,-1.765017808938963e-01,1.596076825835866e-02,-1.168439750722407e-02,2.321063318335570e-03,5.516180044634283e-03,9.999138259258549e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644142845631,4,1609043644142845631,3.455537344880665e-02,-1.874435760387478e-01,1.738696387263019e-02,-1.169550951288743e-02,2.216230156511206e-03,5.214722074733545e-03,9.999155514616275e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644235739231,5,1609043644235739231,3.515937185030624e-02,-1.838397157709589e-01,1.562701302733092e-02,-1.169950989873762e-02,2.215618699371192e-03,5.013456679694498e-03,9.999165353938444e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644329566240,6,1609043644329566240,3.585481008102338e-02,-1.892947225702527e-01,1.594653964095255e-02,-1.157787310910201e-02,2.226624286132603e-03,5.257224215462286e-03,9.999166748245107e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644424826622,7,1609043644424826622,3.784759393801571e-02,-1.844486386646019e-01,1.868993148018438e-02,-1.153195364731969e-02,2.446069167029968e-03,5.039626020439068e-03,9.999178131027970e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644535771132,8,1609043644535771132,3.525840642064973e-02,-1.855707859062178e-01,1.846571305357380e-02,-1.171473600920149e-02,2.587310695190411e-03,5.261445793175310e-03,9.999141903042315e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644629517555,9,1609043644629517555,3.665509541947801e-02,-1.832622683851853e-01,1.960962016771004e-02,-1.160840307638889e-02,2.385860563840688e-03,5.171709664589333e-03,9.999163995387470e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
