%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w
1609043646564767212,0,1609043646564767212,3.386042953934520e-04,-3.907338250428438e-04,-7.922084478195757e-05,-1.117479875683784e-01,-9.935692548751831e-01,8.530307968612760e-05,1.823685504496098e-02
1609043646671853069,0,1609043646671853069,6.514142150990665e-04,-8.292109705507755e-04,8.379444479942322e-04,-1.117275953292847e-01,-9.935710430145264e-01,1.428103569196537e-04,1.826256513595581e-02
1609043646763832170,0,1609043646763832170,1.490346621721983e-03,-5.503494758158922e-04,1.498468918725848e-03,-1.117418259382248e-01,-9.935696721076965e-01,1.204744767164811e-04,1.825244352221489e-02
1609043646865623342,0,1609043646865623342,1.734051853418350e-03,-1.335515058599412e-03,1.991990953683853e-03,-1.117410510778427e-01,-9.935697317123413e-01,1.410107943229377e-04,1.825186051428318e-02
1609043646973807638,0,1609043646973807638,3.039969597011805e-03,-1.326348865404725e-03,2.539485227316618e-03,-1.117439493536949e-01,-9.935690760612488e-01,1.095899278880097e-04,1.827153936028481e-02
1609043647071837800,0,1609043647071837800,2.975241746753454e-03,-1.567082363180816e-03,2.923074644058943e-03,-1.117557510733604e-01,-9.935677051544189e-01,1.086819247575477e-04,1.827368326485157e-02
1609043647164607688,0,1609043647164607688,3.488272661343217e-03,-1.779408426955342e-03,2.849918324500322e-03,-1.117628440260887e-01,-9.935672283172607e-01,1.069466816261411e-04,1.825654879212379e-02
1609043647277106057,0,1609043647277106057,3.628422738984227e-03,-1.663905917666852e-03,2.963569480925798e-03,-1.117325723171234e-01,-9.935699105262756e-01,1.196041848743334e-04,1.829388923943043e-02
1609043647370323935,0,1609043647370323935,3.985872957855463e-03,-1.535916118882596e-03,3.318003611639142e-03,-1.117458418011665e-01,-9.935691356658936e-01,1.223934668814763e-04,1.825526170432568e-02
1609043647467013765,0,1609043647467013765,4.250938072800636e-03,-1.077505527064204e-03,3.316302783787251e-03,-1.117260381579399e-01,-9.935714006423950e-01,1.271903165616095e-04,1.825294271111488e-02
1609043647574089873,0,1609043647574089873,3.737085266038775e-03,-1.742783118970692e-03,3.621892537921667e-03,-1.117120385169983e-01,-9.935726523399353e-01,1.395123836118728e-04,1.827213913202286e-02
1609043647666354082,0,1609043647666354082,3.763153683394194e-03,-1.695943996310234e-03,3.761810483410954e-03,-1.117538139224052e-01,-9.935683608055115e-01,9.679012146079913e-05,1.825021952390671e-02
