%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609043643748105526,0,1609043643748105526,-1.175932574166602e-03,2.429327878098060e-03,-7.287484932552333e-05,-1.928175603811936e-04,-6.626424161723071e-05,-3.490399591188652e-05,9.999999786060734e-01,1.363741838962698e-03,-1.198528509027430e-02,-3.357633172749509e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043643843486309,0,1609043643843486309,-1.672142885792665e-03,2.667990205081361e-03,1.138186191345927e-03,-1.040105917819292e-04,-3.035096277317859e-05,-6.200551502962893e-05,9.999999922079635e-01,-5.065048569561992e-03,4.335859894569430e-03,1.323349009418688e-02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043643955476284,0,1609043643955476284,-3.201034539668954e-03,3.663424543868727e-03,3.665328312687672e-04,-2.416161957822959e-04,-4.444069248950725e-05,-3.763930218697253e-05,9.999999691149585e-01,-1.071743404114906e-02,3.931133508882558e-03,-1.738673533060509e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644048335552,0,1609043644048335552,-2.541542950068251e-03,2.801564138834134e-03,7.918751617587569e-04,-1.710304774317247e-04,-3.782003240434676e-05,-6.778292705933740e-05,9.999999823618456e-01,-7.452622430516743e-04,-2.901354415881810e-03,1.201947363665291e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644142845631,0,1609043644142845631,-3.392725640072998e-03,2.742672147294991e-03,9.397857085649202e-04,-9.278651790441468e-05,-5.768557776230934e-05,-8.002133216662440e-05,9.999999908298079e-01,-4.797732877948762e-03,-4.299839745500334e-03,1.010176952152513e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644254473686,0,1609043644254473686,-3.792014406861077e-03,3.600396999775738e-03,3.882187416654170e-04,-2.881650373525281e-04,-1.473562831265614e-05,-1.537529016397603e-05,9.999999582536817e-01,-2.733804068684672e-03,-1.249165840693412e-03,-4.555054191743503e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644349079609,0,1609043644349079609,-4.367645687528243e-03,6.360441993815502e-03,7.471493942438895e-04,-1.701117677130399e-04,-7.199040831544272e-05,-9.098757094712374e-05,9.999999788003102e-01,-3.340144873645423e-03,1.398759298315660e-02,3.110551108497723e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644442798376,0,1609043644442798376,-3.921415570840749e-03,6.069731447312435e-03,1.429262373641366e-03,-1.070464539630052e-04,-7.613286168506807e-05,-1.950781294820608e-04,9.999999723446789e-01,6.972921576260073e-04,8.046310448054093e-03,4.379389054722298e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644554539442,0,1609043644554539442,-4.282923667023666e-03,5.857871291645096e-03,5.727140083209087e-04,-2.646137918355437e-04,-2.375214984758522e-05,-4.512570523697263e-05,9.999999636895190e-01,-1.199739233503260e-03,6.914352214880256e-04,-4.164541056231541e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644648283005,0,1609043644648283005,-3.611592404588899e-03,5.274152188383186e-03,6.872478588358038e-04,-1.825096143266438e-04,-2.702595019446136e-05,-4.436127261112736e-05,9.999999819959536e-01,3.405312201481563e-03,-1.484358470013822e-03,-1.070713824961283e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644742824078,0,1609043644742824078,-3.250564509745762e-03,5.303100108153213e-03,9.709192597761421e-04,-8.884404862179088e-05,-7.688125289723787e-05,-1.849255631201980e-04,9.999999759992667e-01,4.310750707382605e-03,-6.507917400344690e-04,1.787294611292524e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644853756189,0,1609043644853756189,-3.660971629949096e-03,5.367270440423182e-03,1.911732517823760e-04,-2.338697265880257e-04,-2.705493227446288e-05,-7.831857510029564e-05,9.999999692195858e-01,6.256508463680002e-04,-2.921851024848589e-03,-4.519165766177741e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043644948105097,0,1609043644948105097,-4.678739824313649e-03,5.795558485198212e-03,4.300904540038848e-04,-1.614698478454501e-04,-6.480966012132723e-05,-8.755518603501599e-05,9.999999810306375e-01,-4.429381160647427e-03,3.935551648482551e-04,-7.341436491574999e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645043587446,0,1609043645043587446,-3.262212360058526e-03,5.008449468402856e-03,1.428273334868115e-03,-7.120410309901781e-05,-6.280072373674284e-05,-7.999186967217111e-05,9.999999922936670e-01,6.071595224862090e-03,-2.045896297911010e-03,5.762846554301861e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645153667450,0,1609043645153667450,-4.842233791340142e-03,4.417155287874868e-03,6.286337221348322e-04,-2.503747210101435e-04,-1.116820540587148e-05,-2.975419040191045e-05,9.999999681512225e-01,-5.003321878376190e-03,-6.269178641767494e-03,-2.935324070015698e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645247512817,0,1609043645247512817,-4.869005753059271e-03,5.294671202498882e-03,8.551877076236687e-04,-1.720133286410669e-04,-4.066433203017214e-05,-9.005158021485806e-05,9.999999803242628e-01,-1.862467686254980e-03,2.501204978323573e-03,6.020493157510415e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645344040394,0,1609043645344040394,-3.899441539239912e-03,5.263282244739115e-03,1.495103839621176e-03,-9.321573737875543e-05,-7.741381151436357e-05,-9.795116197849054e-05,9.999999878617409e-01,4.256756469120520e-03,3.564434198932438e-03,4.859783096297020e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645453453064,0,1609043645453453064,-4.142429665848608e-03,5.251008932608836e-03,4.479217948900673e-04,-2.408593328843480e-04,-1.987080272930839e-05,-1.053408475300116e-04,9.999999652476107e-01,1.763305836712534e-03,5.420027348236255e-04,-5.030581748758857e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645548795462,0,1609043645548795462,-4.638481635726477e-03,6.278358531004312e-03,4.108430770897743e-04,-1.895233557820225e-04,-3.857758956729751e-05,-1.020213116982324e-04,9.999999760921516e-01,-8.617967016552835e-04,5.690165597957249e-03,-2.355034863613543e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645644299269,0,1609043645644299269,-5.287593925562427e-03,7.556363289162509e-03,1.235087857286961e-03,-1.211283421456360e-04,-5.638812990718691e-05,-1.101159610538136e-04,9.999999850113814e-01,-3.863665329920207e-03,1.044921174350664e-02,3.892942027543471e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645755131006,0,1609043645755131006,-4.249515922947231e-03,6.304760645933077e-03,3.353617188876482e-04,-2.807665663272780e-04,-1.571480931447738e-05,-6.599364514420133e-05,9.999999582840006e-01,3.518503046955723e-03,-3.334163715814197e-04,-4.544181775302720e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645846986532,0,1609043645846986532,-3.416236431148126e-03,5.267692413544277e-03,9.331575957272490e-04,-1.515946259762861e-04,-4.160058965105853e-05,-7.455042008180785e-05,9.999999848653408e-01,5.801491612712805e-03,-2.866048490426085e-03,1.477121636107187e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043645943793535,0,1609043645943793535,-3.481617627076971e-03,5.398034009924851e-03,1.490402743894351e-03,-9.467415158283738e-05,-6.229658681828402e-05,-1.235374869082309e-04,9.999999859472081e-01,3.259715039360689e-03,-2.242201313751285e-04,4.172989099472720e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646054740906,0,1609043646054740906,-4.605067432753412e-03,5.440086419602731e-03,5.691331277699352e-04,-2.471524539089044e-04,2.694534156244351e-06,-9.710508477303221e-05,9.999999647394949e-01,-3.850332072701618e-03,-1.923077179644962e-03,-4.092361522497014e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646148298025,0,1609043646148298025,-5.224105546818404e-03,6.209565787938406e-03,9.927926029630880e-04,-1.592284085357601e-04,-2.949162561365496e-05,-5.053101805759776e-05,9.999999856115793e-01,-4.967360352684485e-03,4.459087859879013e-03,5.561589881226429e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646243589878,0,1609043646243589878,-5.030538636107889e-03,7.332047930103365e-03,1.416115380806517e-03,-9.622908842072643e-05,-6.458512537374949e-05,-1.945368089190372e-04,9.999999743620679e-01,-1.138116959878776e-03,1.007056756782406e-02,3.346896701502386e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646354795694,0,1609043646354795694,-4.763325506087646e-03,7.750444975133598e-03,7.451194569147242e-04,-2.759713954153108e-04,1.402772921459468e-05,-2.821968779336541e-05,9.999999614233207e-01,1.108735836096827e-03,6.170058832995937e-03,-3.493765473567995e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646448480606,0,1609043646448480606,-5.636909670685162e-03,7.937829983920395e-03,9.527309609292328e-04,-1.628002046164849e-04,-4.965925167140602e-05,-8.685553699230255e-05,9.999999817430745e-01,-3.912103220853703e-03,5.470092933813502e-03,-2.320648711979473e-04,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646542077303,0,1609043646542077303,-5.575809606926395e-03,8.097272713754735e-03,1.528577357586801e-03,-8.053741882217313e-05,-5.197582756141189e-05,-1.310663616216444e-04,9.999999868169135e-01,-1.871398476680611e-03,5.440681212568724e-03,3.529654579802127e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646654769421,0,1609043646654769421,-5.336235639119423e-03,7.033114178190500e-03,6.320003211129756e-04,-2.419443665129954e-04,-2.202451180230753e-05,-2.407040819279583e-05,9.999999701992196e-01,1.324201280040026e-04,-2.557284524924874e-03,-3.773567750415034e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609043646747706413,0,1609043646747706413,-4.475722082376321e-03,6.063363205936114e-03,7.741908329703538e-04,-1.614519262556007e-04,-4.185642895756931e-05,-1.084103824380520e-04,9.999999802142420e-01,4.187502255086501e-03,-3.337725414837156e-03,-7.832192333348444e-05,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
