%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609046842076459169,0,1609046842076459169,5.256353189464903e-02,-1.883987654953595e-03,-5.474908267961551e-02,-3.985787870216509e-05,-1.445558456081976e-05,2.931803183633991e-05,9.999999986714191e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842179316282,0,1609046842179316282,5.429734190213244e-02,-3.284953264409465e-03,-5.776086586195509e-02,-5.133308720453022e-05,-1.773254851325159e-04,2.219528403476202e-04,9.999999583287608e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842282258272,0,1609046842282258272,5.340142230499779e-02,1.024508178635504e-04,-5.711421918474075e-02,-7.025385789757693e-07,-4.570278937985849e-05,8.389200153523123e-05,9.999999954364458e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842385839701,0,1609046842385839701,5.285847959873572e-02,-1.382645431593612e-03,-5.592896932781893e-02,-2.050081350848334e-05,-4.034221081093583e-05,1.374500822498317e-04,9.999999895298477e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842489224911,0,1609046842489224911,5.535791159252836e-02,-2.776601179254069e-03,-5.531173792401647e-02,3.471981866981668e-05,-2.327571212231935e-05,9.397525061862020e-05,9.999999947107127e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842558978558,0,1609046842558978558,5.608682274628787e-02,-2.728715608821461e-03,-5.379364126789474e-02,1.110189250955759e-04,-2.126055638620078e-05,2.994933125244956e-05,9.999999931629110e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842660408020,0,1609046842660408020,5.585504242916975e-02,-2.362687323980460e-03,-5.277706916175647e-02,1.086572914320467e-04,1.013458451479748e-05,-2.445209850613968e-05,9.999999937464870e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842763325930,0,1609046842763325930,5.579897118383549e-02,-1.848455946856731e-03,-5.290025161668757e-02,8.836768339668975e-05,1.388431796529661e-05,-5.520985773615302e-05,9.999999944751233e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842867444754,0,1609046842867444754,5.493442058391335e-02,-1.422121200982054e-03,-5.413365721887116e-02,1.636626629850686e-05,-9.323122562318625e-06,3.404334807072112e-05,9.999999992431358e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046842969865561,0,1609046842969865561,5.422408216646437e-02,6.457257978595544e-05,-5.502441525319192e-02,2.845259619621173e-05,-3.527081968341706e-05,7.711289537203783e-05,9.999999960000080e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1609046843073221922,0,1609046843073221922,5.356863976637476e-02,-1.087278232067522e-05,-5.525621125157052e-02,-1.123590775179148e-05,-1.790679519987182e-05,6.436496407833655e-05,9.999999977051234e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
